id,placeholder1,Lat,Lon,HarvestYear,placeholder2
56405,.,-4.066666666666666,37.73333333333333,2006,.
56422,.,-0.75,37.75,2006,.
56423,.,-0.75,37.75,2006,.
56426,.,-0.75,37.75,2006,.
56427,.,-0.75,37.75,2006,.
56430,.,-0.75,37.75,2006,.
56431,.,-0.75,37.75,2006,.
56434,.,-0.75,37.75,2006,.
56435,.,-0.75,37.75,2006,.
56486,.,-20.383333333333333,28.516666666666666,2006,.
56488,.,-20.433333333333334,28.4,2006,.
56567,.,0.1,34.4,2006,.
56571,.,0.1,34.4,2006,.
56582,.,-19.8,30.883333333333333,2006,.
56591,.,-17.566666666666666,30.98333333333333,2006,.
56610,.,-16.233333333333334,27.416666666666668,2006,.
56620,.,-16.233333333333334,27.433333333333334,2006,.
56633,.,-14.966666666666669,34.983333333333334,2006,.
56651,.,-13.766666666666667,34.05,2006,.
56667,.,-13.283333333333331,34.13333333333333,2006,.
56674,.,-13.233333333333333,34.233333333333334,2006,.
56681,.,-13.283333333333331,34.13333333333333,2006,.
56692,.,-13.233333333333333,34.233333333333334,2006,.
57120,.,0.1,34.4,2006,.
57121,.,0.1,34.4,2006,.
57133,.,-4.066666666666666,37.73333333333333,2006,.
57150,.,-0.75,37.75,2006,.
57151,.,-0.75,37.75,2006,.
57154,.,-0.75,37.75,2006,.
57155,.,-0.75,37.75,2006,.
57158,.,-0.75,37.75,2006,.
57159,.,-0.75,37.75,2006,.
57162,.,-0.75,37.75,2006,.
57163,.,-0.75,37.75,2006,.
57214,.,-20.383333333333333,28.516666666666666,2006,.
57216,.,-20.433333333333334,28.4,2006,.
57295,.,0.1,34.4,2006,.
57299,.,0.1,34.4,2006,.
57310,.,-19.8,30.883333333333333,2006,.
57319,.,-17.566666666666666,30.98333333333333,2006,.
57338,.,-16.233333333333334,27.416666666666668,2006,.
57348,.,-16.233333333333334,27.433333333333334,2006,.
57361,.,-14.966666666666669,34.983333333333334,2006,.
57379,.,-13.766666666666667,34.05,2006,.
57395,.,-13.283333333333331,34.13333333333333,2006,.
57402,.,-13.233333333333333,34.233333333333334,2006,.
57409,.,-13.283333333333331,34.13333333333333,2006,.
57420,.,-13.233333333333333,34.233333333333334,2006,.
57846,.,0.1,34.4,2006,.
57847,.,0.1,34.4,2006,.
